Signal1,Signal2,Signal3,R,H,O
-154.2526333,57.95206432,-91.9366501,-2.02e-06,11.0,135.0
-154.2093127,58.16379107,-91.82769396,-3.24e-06,11.0,135.0
-154.0345976,58.4230484,-91.76603147,0.000431437,11.0,135.0
-153.7486978,58.71585052,-91.96084624,0.010262486,11.0,135.0
-153.554096,58.85842696,-92.29067018,0.046012558,11.0,135.0
-153.542763,58.93703651,-92.54577106,0.110917069,11.0,135.0
-153.7945542,59.11295645,-92.73803077,0.196817741,11.0,135.0
-154.3292414,59.27206923,-92.87297119,0.196817741,11.0,135.0
-155.0728581,59.46151446,-92.84845663,0.290542543,11.0,135.0
-155.8629722,59.5786938,-92.80088509,0.387405127,11.0,135.0
-156.5214299,59.38129639,-93.04255109,0.485561609,11.0,135.0
-157.0197295,59.15547484,-93.40561909,0.584702551,11.0,135.0
-157.3335507,59.1641297,-93.58168994,0.684173942,11.0,135.0
-157.562528,59.33729968,-93.70182943,0.783752322,11.0,135.0
-157.9199258,59.54011372,-93.9932941,0.883748293,11.0,135.0
-158.428209,59.75526094,-94.29317496,0.883748293,11.0,135.0
-159.0537191,60.05832778,-94.54124206,0.983601093,11.0,135.0
-159.6523523,60.30457864,-94.97757982,1.083539128,11.0,135.0
-160.0976254,60.58034493,-95.45381556,1.183650017,11.0,135.0
-160.4818156,61.17098844,-95.82557558,1.283593297,11.0,135.0
-160.8197023,61.7773874,-96.06524509,1.383699059,11.0,135.0
-161.1315404,61.96958261,-96.0300115,1.483619332,11.0,135.0
-161.5164011,61.92006182,-95.90580831,1.483619332,11.0,135.0
-161.8871546,61.9297053,-95.71679201,1.583473802,11.0,135.0
-162.0024261,61.8571845,-95.4296323,1.68351841,11.0,135.0
-161.8598597,61.62416819,-95.43395911,1.783423305,11.0,135.0
-161.6958807,61.48243067,-95.89413413,1.883420944,11.0,135.0
-161.6632309,61.54015311,-96.61304264,1.983554721,11.0,135.0
-161.8463699,61.76264659,-97.1395354,2.083483219,11.0,135.0
-162.2394353,62.1216356,-97.28313589,2.183591843,11.0,135.0
-162.7456519,62.54147981,-97.34946946,2.183591843,11.0,135.0
-163.2388708,62.82024876,-97.48356418,2.283529043,11.0,135.0
-163.6119622,62.84362526,-97.65901105,2.383392572,11.0,135.0
-163.9493504,62.7261597,-97.82808242,2.483481407,11.0,135.0
-164.3725598,62.41540338,-97.89145587,2.583551168,11.0,135.0
-164.8080185,61.98454383,-97.71366262,2.683508158,11.0,135.0
-165.1120499,61.70853622,-97.26220912,2.783598423,11.0,135.0
-165.4026896,61.75316285,-96.65522781,2.883458853,11.0,135.0
-165.7558396,62.19429599,-95.96968038,2.883458853,11.0,135.0
-165.9888416,62.65632659,-95.30004544,2.983482122,11.0,135.0
-166.2124434,62.77592242,-94.92062675,3.083488941,11.0,135.0
-166.5567734,62.81980553,-95.10950398,3.183394432,11.0,135.0
-166.8585286,62.97574968,-95.69276471,3.283481598,11.0,135.0
-167.0621105,63.09650759,-96.10335891,3.383534193,11.0,135.0
-167.224204,63.14330777,-96.24060949,3.483529329,11.0,135.0
